TVD,LocalX,LocalY,Inc,Az,Angle,Radians,AxisSize,Cx,Cy,Cz
11616.21,465.8699,-5860.9655,91.7,182.81,,,,,,
11617.36,462.4917,-5954.8676,86.9,181.31,,,,,,
11622.77,460.8374,-6048.6965,86.5,180.71,,,,,,
11626.67,460.4902,-6143.6084,88.8,179.71,,,,,,
11629.98,461.5504,-6238.5409,87.2,179.01,,,,,,
11632.77,463.3378,-6332.4767,89.4,178.81,,,,,,
11633.59,465.6999,-6426.4431,89.6,178.31,,,,,,
11632.27,469.0809,-6521.3661,92,177.61,,,,,,
11628.58,472.7521,-6615.2215,92.5,177.91,,,,,,
11625.34,475.5519,-6710.1229,91.4,178.71,,,,,,
11623.7,478.1598,-6804.0712,90.6,178.11,,,,,,
11623.7,480.5219,-6898.038853,89.4,179.01,,,,,,
11624.61,482.329,-6993.017227,89.5,178.81,,,,,,
11625.11,484.8821,-7087.980828,89.9,178.11,,,,,,
11626.18,486.9162,-7181.949305,88.8,179.41,,,,,,
11629.05,487.4739,-7275.902066,87.7,179.91,,,,,,
11631.62,487.4572,-7370.864544,89.2,180.11,,,,,,
11633.29,487.2269,-7490.852626,89.2,180.11,,,,,,
